sno,title,nco_2015,nco_2004,division,sub_division,group,family
1839,"Painter, Glass",7132.0700,7142.60,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1840,"Painter, Mate",7132.0900,7142.80,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1841,Automotive Paint Shop Assistant,7132.0901,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1842,"Varnishers and Related Workers, Other",7132.9900,7142.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1843,"Painter, General",7132.0100,7142.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1844,"Painter, Spray/Painting Technician (Spray Painting)",7132.0201,7142.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1845,Auto Spray Painter/Painter,7132.0202,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1846,Auto Body Painting Technician – Surface Treatment,7132.0203,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1847,Automotive Body Painting Technician,7132.0204,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1848,Auto Spray Painter Assistant/Painter,7132.0205,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1849,Metal Sprayer,7132.0300,7142.25,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),"Painters, Builders, Structure Cleaners and Related Trades Workers",Spray Painters and Varnishers
1850,"Metal Moulders and Core Makers, Other",7211.9900,7211.90,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
1851,"Moulder, General",7211.0100,7211.10,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
1852,Press Shop Operator,7211.0101,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
1853,Press Shop Assistant/Helper,7211.0102,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
1854,"Moulder, Machine",7211.0200,7211.20,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
1855,Casting Technician – Sand Moulding,7211.0201,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
1856,"Moulder, Vertical Pipe",7211.0300,7211.30,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
1857,"Rammer, Vertical Pipe Moulding",7211.0400,7211.40,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",Metal Moulders and Core Makers
